intent_name,support,tfidf_f1,tfidf_precision,tfidf_recall,distilbert_f1,distilbert_precision,distilbert_recall,qwen_f1,qwen_precision,qwen_recall,best_model,max_model_gap_pp
balance_not_updated_after_bank_transfer,40,0.6905,0.6591,0.725,0.7901,0.7805,0.8,0.7229,0.6977,0.75,distilbert,9.96
topping_up_by_card,40,0.7838,0.8529,0.725,0.7949,0.8158,0.775,0.8649,0.9412,0.8,qwen,8.11
why_verify_identity,40,0.8354,0.8462,0.825,0.8,0.8571,0.75,0.975,0.975,0.975,qwen,17.5
declined_transfer,40,0.9067,0.9714,0.85,0.8169,0.9355,0.725,0.8571,1.0,0.75,tfidf,8.98
pending_transfer,40,0.7353,0.8929,0.625,0.825,0.825,0.825,0.7895,0.8333,0.75,distilbert,8.97
compromised_card,40,0.7733,0.8286,0.725,0.8312,0.8649,0.8,0.5455,1.0,0.375,distilbert,28.57
verify_my_identity,40,0.7619,0.7273,0.8,0.8372,0.7826,0.9,0.9398,0.907,0.975,qwen,17.79
declined_card_payment,40,0.8041,0.6842,0.975,0.8409,0.7708,0.925,0.9176,0.8667,0.975,qwen,11.35
lost_or_stolen_card,40,0.8718,0.8947,0.85,0.8471,0.8,0.9,0.8605,0.8043,0.925,tfidf,2.47
card_arrival,40,0.7765,0.7333,0.825,0.8506,0.7872,0.925,0.8608,0.8718,0.85,qwen,8.43
reverted_card_payment?,40,0.8537,0.8333,0.875,0.8605,0.8043,0.925,0.9211,0.9722,0.875,qwen,6.74
card_delivery_estimate,40,0.875,0.875,0.875,0.8608,0.8718,0.85,0.875,0.875,0.875,qwen,1.42
transfer_into_account,40,0.8205,0.8421,0.8,0.8608,0.8718,0.85,0.9383,0.9268,0.95,qwen,11.78
direct_debit_payment_not_recognised,40,0.8649,0.9412,0.8,0.8649,0.9412,0.8,0.8732,1.0,0.775,qwen,0.83
top_up_by_bank_transfer_charge,40,0.8108,0.8824,0.75,0.8649,0.9412,0.8,0.8947,0.9444,0.85,qwen,8.39
get_disposable_virtual_card,40,0.7273,0.7568,0.7,0.8684,0.9167,0.825,0.8837,0.8261,0.95,qwen,15.64
failed_transfer,40,0.7816,0.7234,0.85,0.881,0.8409,0.925,0.907,0.8478,0.975,qwen,12.54
top_up_failed,40,0.7561,0.7381,0.775,0.881,0.8409,0.925,0.8506,0.7872,0.925,distilbert,12.49
